bank,column,total_records,null_count,empty_count,total_missing,success_count,success_rate,status
BANGKOK,transaction_date,12,0,0,0,12,100.0,Excellent
BANGKOK,transaction_time,12,0,0,0,12,100.0,Excellent
BANGKOK,amount,12,0,0,0,12,100.0,Excellent
BANGKOK,from_account_name,12,3,0,3,9,75.0,Poor
BANGKOK,to_account_name,12,3,0,3,9,75.0,Poor
BANGKOK,to_bank,12,11,0,11,1,8.3,Poor
BANGKOK,ref_number,12,0,0,0,12,100.0,Excellent
KBANK,transaction_date,58,50,0,50,8,13.8,Poor
KBANK,transaction_time,58,50,0,50,8,13.8,Poor
KBANK,amount,58,7,0,7,51,87.9,Good
KBANK,from_account_name,58,0,0,0,58,100.0,Excellent
KBANK,to_account_name,58,0,0,0,58,100.0,Excellent
KBANK,to_bank,58,50,0,50,8,13.8,Poor
KBANK,ref_number,58,3,0,3,55,94.8,Good
KRUNGTHAI,transaction_date,18,13,0,13,5,27.8,Poor
KRUNGTHAI,transaction_time,18,13,0,13,5,27.8,Poor
KRUNGTHAI,amount,18,1,0,1,17,94.4,Good
KRUNGTHAI,from_account_name,18,1,0,1,17,94.4,Good
KRUNGTHAI,to_account_name,18,8,0,8,10,55.6,Poor
KRUNGTHAI,to_bank,18,12,0,12,6,33.3,Poor
KRUNGTHAI,ref_number,18,15,0,15,3,16.7,Poor
SCB,transaction_date,41,33,0,33,8,19.5,Poor
SCB,transaction_time,41,33,0,33,8,19.5,Poor
SCB,amount,41,1,0,1,40,97.6,Excellent
SCB,from_account_name,41,2,0,2,39,95.1,Excellent
SCB,to_account_name,41,11,0,11,30,73.2,Poor
SCB,to_bank,41,35,0,35,6,14.6,Poor
SCB,ref_number,41,0,0,0,41,100.0,Excellent
